Model,Embedding,Variant,accuracy,precision,recall,f1
RNN,GloVe,Frozen,0.7469053667190839,0.8317364624825062,0.6210610932475884,0.7111233834967094
RNN,GloVe,Fine-Tuned,0.7956130801177372,0.7772094772470853,0.8306270096463022,0.8030308917816203
RNN,Word2Vec,Frozen,0.8200878996814644,0.8605386840202458,0.7653536977491961,0.8101599727705923
RNN,Word2Vec,Fine-Tuned,0.8289988306923108,0.7931355023239185,0.8916398713826367,0.8395080416272469
RNN,TF-IDF,N/A,0.8827869843957905,0.8719469371829887,0.8982315112540193,0.8848940803801227
