Model,Embedding,Variant,accuracy,precision,recall,f1
LSTM,Word2Vec,Frozen,0.8929881859602435,0.8882717029043009,0.89983922829582,0.8940180496765434
LSTM,TF-IDF,-,0.8816983186161849,0.900084175084175,0.8595659163987138,0.8793585526315789
LSTM,Word2Vec,Fine-Tuned,0.8720616104189347,0.8514753849654858,0.9023311897106109,0.8761659446590954
LSTM,GloVe,Frozen,0.8756098544413532,0.8961632929618023,0.8505627009646303,0.8727677650843403
LSTM,GloVe,Fine-Tuned,0.8660537881537035,0.8396156138259833,0.9060289389067524,0.8715589236003711
