Experiment,Model,Embedding,Variant,Trainable Parameters,Best Epoch,Training Time (min),accuracy,precision,recall,f1
Word2Vec Frozen,BiLSTM,Word2Vec,Frozen,235777,8,2.5013014912605285,0.8969799604854642,0.9077633858592525,0.8844855305466238,0.8959732909897805
GloVe Frozen,BiLSTM,GloVe,Frozen,235777,7,2.4516940156618756,0.8819805652997863,0.8987341772151899,0.8618167202572348,0.8798883827814026
TF-IDF,BiLSTM,TF-IDF,Document Vector,20613377,1,0.5589139858881632,0.8803677271077779,0.9025924351891202,0.8536173633440515,0.8774220202437513
GloVe Fine-Tuned,BiLSTM,GloVe,Fine-Tuned,6308277,2,1.5421394983927408,0.8668198862949075,0.9204786010124252,0.8039389067524115,0.8582707573482086
Word2Vec Fine-Tuned,BiLSTM,Word2Vec,Fine-Tuned,6308277,2,1.458782422542572,0.8629893955888875,0.9250658142158706,0.7909163987138264,0.8527474432310626
